contig_id	length	prediction	entropy	reliability_score	host_contam	prophage_contam	G+C	N%	prediction_2	#_bacteria_windows	#_phage_windows	#_eukarya_windows	#_archaea_windows	bacteria_score	bacteria_var	phage_score	phage_var	eukarya_score	eukarya_var	archaea_score	archaea_var	window_summary	terminal_repeats	repeat_length
ERZ773086.250-NODE-250-length-42367-cov-5.359709	42367	phage	0.233	0.772	False	False	0.414	0.000	bacteria	4	16	0	0	1.090	2.877	4.047	2.836	-5.523	1.305	-4.230	0.743	3n2V1n14V		
ERZ773086.251-NODE-251-length-42234-cov-10.805780	42234	phage	0.100	0.837	False	False	0.569	0.000	bacteria	0	20	0	0	-1.866	0.790	4.945	1.645	-5.383	1.670	-2.938	2.504	20V	DTR	19.000
ERZ773086.283-NODE-283-length-39402-cov-4.869062	39402	phage	0.088	0.886	False	False	0.383	0.000	bacteria	0	19	0	0	-0.507	0.465	5.090	1.279	-6.723	2.852	-4.242	0.343	19V		
ERZ773086.285-NODE-285-length-39076-cov-30.774480	39076	phage	0.174	0.828	False	False	0.418	0.000	bacteria	1	18	0	0	0.273	0.953	4.758	0.882	-5.988	1.343	-4.004	1.028	18V1n	DTR	23.000
ERZ773086.293-NODE-293-length-38163-cov-4.761153	38163	phage	0.306	0.763	False	False	0.393	0.000	bacteria	2	16	0	0	0.465	1.338	4.473	1.965	-5.527	1.427	-4.012	0.370	2n16V		
ERZ773086.343-NODE-343-length-35001-cov-5.327248	35001	phage	0.153	0.827	False	False	0.320	0.000	bacteria	0	17	0	0	-0.136	0.475	4.660	1.197	-5.945	0.833	-3.703	0.359	17V	DTR	18.000
ERZ773086.364-NODE-364-length-33787-cov-4.182379	33787	phage	0.088	0.829	False	False	0.388	0.000	bacteria	0	16	0	0	-0.774	0.410	4.711	0.970	-5.480	1.965	-3.555	0.656	16V		
ERZ773086.367-NODE-367-length-33614-cov-5.511666	33614	phage	0.462	0.796	False	False	0.379	0.000	bacteria	4	12	0	0	1.080	1.511	3.691	2.086	-6.129	1.734	-4.070	1.277	3V2n1V1n6V1n2V	ITR	13.000
ERZ773086.384-NODE-384-length-32557-cov-19.383699	32557	phage	0.034	0.924	False	False	0.512	0.000	bacteria	0	15	0	0	-1.010	0.201	5.480	0.883	-6.113	2.617	-3.238	0.383	15V	DTR	55.000
ERZ773086.396-NODE-396-length-32106-cov-104.404948	32106	phage	0.065	0.933	False	False	0.671	0.000	bacteria	0	15	0	0	-0.081	0.647	5.734	0.712	-7.297	1.484	-3.711	0.505	15V	DTR	16.000
ERZ773086.486-NODE-486-length-28324-cov-23.203934	28324	phage	0.083	0.882	False	False	0.551	0.000	bacteria	0	13	0	0	-0.632	0.487	5.230	0.854	-6.047	2.115	-3.018	0.600	13V		
ERZ773086.498-NODE-498-length-27963-cov-4.650387	27963	phage	0.315	0.854	False	False	0.563	0.000	bacteria	2	11	0	0	2.203	1.619	5.031	1.783	-6.609	0.368	-5.137	0.168	3V1n2V1n6V		
ERZ773086.500-NODE-500-length-27926-cov-3.416275	27926	phage	0.018	0.975	False	False	0.552	0.000	bacteria	0	13	0	0	-0.420	0.369	6.605	0.671	-8.039	0.919	-4.000	0.232	13V		
ERZ773086.505-NODE-505-length-27761-cov-6.907024	27761	phage	0.557	0.800	False	False	0.662	0.000	bacteria	4	9	0	0	1.686	1.189	3.109	1.119	-5.844	1.870	-4.188	0.593	5V2n1V1n1V1n2V		
ERZ773086.509-NODE-509-length-27655-cov-4.107319	27655	phage	0.042	0.879	False	False	0.601	0.000	bacteria	0	13	0	0	-0.416	0.233	5.602	0.810	-6.516	1.525	-3.521	0.074	13V		
ERZ773086.532-NODE-532-length-27089-cov-20.612155	27089	phage	0.410	0.758	False	False	0.567	0.000	bacteria	3	10	0	0	2.664	2.373	4.582	2.088	-7.246	1.645	-4.766	0.375	3V1n6V1n1V1n	DTR	14.000
ERZ773086.646-NODE-646-length-24305-cov-2.825979	24305	phage	0.165	0.779	False	False	0.480	0.000	bacteria	1	10	0	0	0.291	1.252	4.914	1.661	-6.387	1.621	-4.312	0.090	3V1n7V		
ERZ773086.665-NODE-665-length-23925-cov-28.385044	23925	phage	0.117	0.865	False	False	0.314	0.000	bacteria	0	11	0	0	-0.164	0.313	4.773	0.869	-6.062	0.981	-3.844	0.733	11V		
ERZ773086.668-NODE-668-length-23884-cov-7.230308	23884	phage	0.378	0.802	False	False	0.668	0.000	bacteria	1	10	0	0	1.002	1.093	4.121	2.541	-5.852	5.070	-4.020	0.634	10V1n		
ERZ773086.671-NODE-671-length-23843-cov-5.011687	23843	phage	0.069	0.909	False	False	0.337	0.000	bacteria	0	11	0	0	-0.382	0.139	4.961	0.861	-6.168	2.297	-3.615	0.324	11V		
ERZ773086.681-NODE-681-length-23685-cov-76.030427	23685	phage	0.218	0.708	False	False	0.603	0.000	bacteria	0	11	0	0	0.208	0.728	4.316	0.807	-5.691	1.060	-3.479	0.514	11V		
ERZ773086.687-NODE-687-length-23560-cov-6.214720	23560	phage	0.138	0.731	False	False	0.560	0.000	bacteria	0	11	0	0	0.482	0.579	5.039	0.689	-6.301	1.475	-3.803	0.633	11V		
ERZ773086.761-NODE-761-length-22256-cov-131.757173	22256	phage	0.344	0.757	False	False	0.625	0.000	bacteria	1	9	0	0	0.922	0.698	3.598	2.105	-5.473	1.929	-4.129	0.721	9V1n		
ERZ773086.787-NODE-787-length-21769-cov-3.413880	21769	phage	0.028	0.907	False	False	0.437	0.000	bacteria	0	10	0	0	-1.229	0.485	5.160	0.464	-5.848	0.884	-3.820	0.154	10V		
ERZ773086.821-NODE-821-length-21183-cov-2.888915	21183	phage	0.294	0.817	False	False	0.410	0.000	bacteria	2	8	0	0	2.480	2.932	4.668	2.477	-7.855	1.449	-4.645	0.877	2n8V		
ERZ773086.923-NODE-923-length-19513-cov-8.594974	19513	phage	0.010	0.912	False	False	0.561	0.000	bacteria	0	9	0	0	-1.711	0.317	6.074	0.344	-5.414	1.992	-3.949	0.441	9V		
ERZ773086.975-NODE-975-length-18955-cov-6.661905	18955	phage	0.027	0.915	False	False	0.456	0.000	bacteria	0	9	0	0	-1.679	0.353	5.316	1.066	-5.434	2.014	-2.854	0.438	9V		
ERZ773086.1002-NODE-1002-length-18751-cov-44.462719	18751	phage	0.260	0.837	False	False	0.669	0.000	bacteria	0	9	0	0	0.758	0.886	4.859	1.738	-6.590	2.414	-4.270	0.585	9V		
ERZ773086.1055-NODE-1055-length-18043-cov-4.005504	18043	phage	0.302	0.732	False	False	0.395	0.000	bacteria	0	8	0	0	0.218	1.020	3.807	0.721	-4.926	1.130	-4.086	0.431	8V		
ERZ773086.1064-NODE-1064-length-17902-cov-66.589119	17902	phage	0.010	0.984	False	False	0.429	0.000	bacteria	0	8	0	0	-1.853	1.088	6.699	0.752	-7.184	0.739	-5.016	0.602	8V		
ERZ773086.1074-NODE-1074-length-17853-cov-2.987695	17853	phage	0.113	0.849	False	False	0.329	0.000	bacteria	0	8	0	0	-0.498	0.293	4.703	0.799	-6.254	0.822	-2.580	0.438	8V	DTR	13.000
ERZ773086.1079-NODE-1079-length-17819-cov-4.561473	17819	phage	0.558	0.773	False	False	0.527	0.000	bacteria	1	7	0	0	3.021	1.503	4.668	1.013	-8.070	0.765	-5.258	0.326	1V1n6V		
ERZ773086.1161-NODE-1161-length-17157-cov-2.420477	17157	phage	0.151	0.717	False	False	0.439	0.000	bacteria	0	8	0	0	-0.442	0.982	4.270	2.129	-5.105	1.982	-4.066	0.539	8V		
ERZ773086.1196-NODE-1196-length-16808-cov-7.836149	16808	phage	0.442	0.783	False	False	0.546	0.000	bacteria	2	6	0	0	1.018	1.125	3.203	0.691	-5.141	1.204	-3.254	0.771	3V1n2V1n1V		
ERZ773086.1214-NODE-1214-length-16589-cov-3.923793	16589	phage	0.341	0.727	False	False	0.673	0.000	bacteria	0	8	0	0	0.448	0.622	3.924	1.170	-5.520	1.852	-3.283	0.952	8V		
ERZ773086.1241-NODE-1241-length-16400-cov-3.596819	16400	phage	0.206	0.837	False	False	0.319	0.000	bacteria	0	8	0	0	-0.535	1.126	4.520	1.819	-5.805	1.305	-2.900	0.706	8V		
ERZ773086.1287-NODE-1287-length-16030-cov-3.094773	16030	phage	0.143	0.785	False	False	0.449	0.000	bacteria	0	7	0	0	0.432	0.723	5.379	0.835	-7.617	1.630	-3.719	0.135	7V		
ERZ773086.1308-NODE-1308-length-15847-cov-5.313640	15847	phage	0.110	0.829	False	False	0.376	0.000	bacteria	0	7	0	0	-0.452	0.392	4.410	0.667	-6.043	2.934	-3.389	0.326	7V		
ERZ773086.1396-NODE-1396-length-15223-cov-27.329707	15223	phage	0.119	0.868	False	False	0.295	0.000	bacteria	0	7	0	0	-0.318	0.395	4.840	1.374	-6.094	2.205	-3.404	0.142	7V	ITR	13.000
ERZ773086.1397-NODE-1397-length-15205-cov-2.889373	15205	phage	0.164	0.864	True	False	0.393	0.000	bacteria	3	4	0	0	2.295	4.445	3.033	5.316	-5.898	1.265	-3.717	0.567	3n4V		
ERZ773086.1414-NODE-1414-length-15085-cov-2.640186	15085	phage	0.102	0.841	False	False	0.590	0.000	bacteria	0	7	0	0	-0.580	0.493	5.215	1.319	-6.750	1.672	-2.760	0.388	7V		
ERZ773086.1493-NODE-1493-length-14529-cov-2.995716	14529	phage	0.387	0.758	False	False	0.587	0.000	bacteria	1	6	0	0	2.430	0.630	4.945	0.609	-7.590	0.171	-5.332	0.239	5V1n1V		
ERZ773086.1496-NODE-1496-length-14509-cov-2.996195	14509	phage	0.109	0.949	False	False	0.434	0.000	bacteria	0	7	0	0	-0.668	1.008	5.223	0.926	-6.062	0.489	-4.152	0.241	7V		
ERZ773086.1499-NODE-1499-length-14489-cov-5.422890	14489	phage	0.152	0.845	False	False	0.382	0.000	bacteria	0	7	0	0	0.151	1.023	4.750	0.896	-6.328	1.116	-3.844	0.756	7V		
ERZ773086.1520-NODE-1520-length-14306-cov-6.561154	14306	phage	0.015	0.856	False	False	0.528	0.000	archaea	0	6	0	0	-2.438	0.134	5.852	0.566	-5.805	1.202	-2.420	1.235	6V		
ERZ773086.1575-NODE-1575-length-13979-cov-4.786986	13979	phage	0.204	0.816	False	False	0.375	0.000	bacteria	0	6	0	0	-0.077	0.722	4.648	1.363	-5.727	0.863	-3.750	0.688	6V		
ERZ773086.1613-NODE-1613-length-13743-cov-2.650351	13743	phage	0.001	0.993	False	False	0.403	0.000	bacteria	0	6	0	0	-2.789	0.459	8.141	1.609	-7.695	0.335	-3.969	0.075	6V		
ERZ773086.1626-NODE-1626-length-13696-cov-3.630819	13696	phage	0.223	0.723	False	False	0.320	0.000	bacteria	0	6	0	0	0.015	0.515	3.838	0.329	-5.238	1.201	-3.064	0.246	6V		
ERZ773086.1645-NODE-1645-length-13622-cov-37.962335	13622	phage	0.549	0.722	False	False	0.523	0.000	bacteria	1	5	0	0	1.392	0.512	3.213	1.104	-5.199	0.635	-3.779	0.973	2V1n3V		
ERZ773086.1664-NODE-1664-length-13538-cov-3.629385	13538	phage	0.431	0.630	False	False	0.289	0.000	bacteria	2	4	0	0	1.000	1.846	3.191	2.414	-4.824	1.304	-2.770	0.427	2n4V		
ERZ773086.1699-NODE-1699-length-13361-cov-2.888847	13361	phage	0.247	0.826	False	False	0.546	0.000	bacteria	1	5	0	0	0.326	0.858	4.145	2.539	-5.785	1.535	-4.129	0.491	1n5V		
ERZ773086.1723-NODE-1723-length-13211-cov-6.426801	13211	phage	0.257	0.693	False	False	0.504	0.000	bacteria	0	6	0	0	0.868	0.402	4.512	0.787	-7.449	1.561	-3.816	0.292	6V		
ERZ773086.1734-NODE-1734-length-13143-cov-5.071898	13143	phage	0.316	0.761	False	False	0.312	0.000	bacteria	1	5	0	0	0.197	1.162	3.764	1.951	-6.340	0.275	-2.203	0.519	1n5V		
ERZ773086.1923-NODE-1923-length-12324-cov-4.069443	12324	phage	0.023	0.910	False	False	0.578	0.000	bacteria	0	6	0	0	-0.914	0.216	5.734	0.612	-6.621	0.704	-2.818	0.536	6V		
ERZ773086.1943-NODE-1943-length-12251-cov-3.655707	12251	phage	0.768	0.717	False	False	0.494	0.000	bacteria	1	4	0	0	3.186	0.668	4.023	1.463	-7.746	1.071	-4.906	0.548	1V1n3V		
ERZ773086.1969-NODE-1969-length-12152-cov-5.194015	12152	phage	0.581	0.766	False	False	0.331	0.000	bacteria	1	4	0	0	0.505	0.430	3.090	1.484	-7.348	0.472	-1.792	2.846	4V1n		
ERZ773086.1996-NODE-1996-length-12056-cov-5.171152	12056	phage	0.090	0.781	False	False	0.347	0.000	bacteria	0	5	0	0	-0.364	0.168	4.414	0.224	-5.074	0.467	-3.744	0.911	5V		
ERZ773086.2002-NODE-2002-length-12011-cov-3.875711	12011	phage	0.181	0.783	False	False	0.334	0.000	bacteria	0	5	0	0	-0.133	0.071	3.910	0.503	-4.906	0.200	-2.928	0.233	5V		
ERZ773086.2027-NODE-2027-length-11915-cov-2.880776	11915	phage	0.379	0.645	False	False	0.278	0.000	bacteria	1	4	0	0	0.639	1.017	3.592	3.027	-6.195	2.779	-2.777	1.801	1n4V		
ERZ773086.2029-NODE-2029-length-11912-cov-22.653960	11912	phage	0.232	0.745	False	False	0.371	0.000	bacteria	1	4	0	0	1.276	3.098	3.303	1.476	-5.262	0.887	-3.643	0.137	1n4V		
ERZ773086.2034-NODE-2034-length-11882-cov-3.130126	11882	phage	0.440	0.802	False	False	0.333	0.000	bacteria	1	4	0	0	0.097	0.656	3.891	3.096	-6.609	0.571	-1.754	1.339	2V1n2V		
ERZ773086.2033-NODE-2033-length-11885-cov-5.279797	11885	phage	0.056	0.943	False	False	0.658	0.000	bacteria	0	5	0	0	-0.323	0.478	5.523	0.674	-6.465	0.462	-4.059	0.594	5V		
ERZ773086.2065-NODE-2065-length-11752-cov-6.214585	11752	phage	0.603	0.496	False	False	0.214	0.000	bacteria	0	5	0	0	1.147	0.054	3.150	0.686	-5.402	0.646	-3.111	0.884	5V		
ERZ773086.2070-NODE-2070-length-11727-cov-5.184373	11727	phage	0.475	0.622	False	False	0.509	0.000	bacteria	0	5	0	0	1.508	0.593	4.051	0.833	-6.375	0.798	-3.695	0.469	5V		
ERZ773086.2152-NODE-2152-length-11384-cov-562.762821	11384	phage	0.459	0.683	False	False	0.476	0.000	bacteria	0	5	0	0	0.755	0.952	3.875	1.781	-5.324	1.358	-3.818	0.080	5V		
ERZ773086.2165-NODE-2165-length-11351-cov-3.197238	11351	phage	0.065	0.901	False	False	0.299	0.000	bacteria	0	5	0	0	-1.200	0.406	4.996	0.981	-5.938	1.224	-2.668	0.330	5V	ITR	13.000
ERZ773086.2171-NODE-2171-length-11319-cov-11.154208	11319	phage	0.078	0.876	False	False	0.500	0.000	bacteria	1	4	0	0	0.597	2.602	4.438	4.273	-7.676	2.010	-3.270	0.573	4V1n		
ERZ773086.2316-NODE-2316-length-10781-cov-3.123065	10781	phage	0.408	0.709	False	False	0.533	0.000	bacteria	0	5	0	0	1.788	0.931	5.090	1.668	-7.602	0.909	-4.461	0.156	5V		
ERZ773086.2323-NODE-2323-length-10759-cov-7.585762	10759	phage	0.545	0.761	False	False	0.625	0.000	bacteria	1	4	0	0	1.147	1.148	3.434	1.488	-5.438	2.949	-3.453	1.414	3V1n1V		
ERZ773086.2423-NODE-2423-length-10432-cov-2.725547	10432	phage	0.014	0.971	False	False	0.412	0.000	bacteria	0	5	0	0	-1.570	0.156	5.742	0.268	-6.742	0.203	-2.752	0.422	5V		
ERZ773086.2430-NODE-2430-length-10405-cov-7.857005	10405	phage	0.476	0.590	False	False	0.537	0.000	bacteria	0	5	0	0	1.222	0.303	3.611	0.448	-5.613	1.125	-3.600	1.185	5V	ITR	55.000
ERZ773086.2515-NODE-2515-length-10139-cov-4.531238	10139	phage	0.457	0.689	False	False	0.430	0.000	bacteria	1	3	0	0	1.469	3.027	3.350	2.752	-4.613	1.466	-4.254	0.406	1V1n2V		
ERZ773086.2563-NODE-2563-length-9951-cov-2.470291	9951	phage	0.479	0.731	False	False	0.618	0.000	bacteria	0	4	0	0	0.841	0.423	3.303	1.069	-4.820	1.491	-3.666	0.908	4V		
ERZ773086.2659-NODE-2659-length-9727-cov-6.335194	9727	phage	0.386	0.600	False	False	0.457	0.000	bacteria	1	3	0	0	1.735	0.796	3.570	1.530	-6.098	0.077	-3.150	1.382	1n3V		
ERZ773086.2712-NODE-2712-length-9596-cov-26.719002	9596	phage	0.062	0.887	False	False	0.568	0.000	bacteria	0	4	0	0	-0.708	0.304	4.953	0.856	-6.207	1.064	-2.654	0.667	4V		
ERZ773086.2724-NODE-2724-length-9569-cov-5.201387	9569	phage	0.278	0.767	False	False	0.388	0.000	bacteria	0	4	0	0	0.035	0.966	4.207	1.544	-5.738	1.677	-3.502	0.154	4V		
ERZ773086.2761-NODE-2761-length-9476-cov-8.088738	9476	phage	0.048	0.883	False	False	0.655	0.000	bacteria	0	4	0	0	-0.626	0.616	5.488	0.571	-6.156	0.187	-3.736	0.247	4V		
ERZ773086.2803-NODE-2803-length-9373-cov-2.683194	9373	phage	0.613	0.557	False	False	0.439	0.000	bacteria	0	4	0	0	1.193	0.156	3.461	1.554	-6.586	2.268	-2.426	2.041	4V		
ERZ773086.2826-NODE-2826-length-9316-cov-5.019220	9316	phage	0.686	0.791	False	False	0.601	0.000	bacteria	1	3	0	0	1.829	1.535	3.094	1.543	-6.566	0.048	-4.508	0.069	1n3V		
ERZ773086.2858-NODE-2858-length-9208-cov-9.050147	9208	phage	0.448	0.745	False	False	0.346	0.000	bacteria	1	3	0	0	1.645	2.463	3.166	2.941	-6.488	1.798	-3.109	0.808	1n3V		
ERZ773086.2859-NODE-2859-length-9205-cov-5.121421	9205	phage	0.514	0.664	False	False	0.544	0.000	bacteria	1	3	0	0	1.979	1.375	3.350	0.690	-5.484	0.920	-3.732	0.534	2V1n1V		
ERZ773086.2867-NODE-2867-length-9192-cov-6.284776	9192	phage	0.436	0.744	False	False	0.564	0.000	bacteria	0	4	0	0	1.489	0.269	3.990	0.838	-6.387	1.273	-3.381	1.214	4V		
ERZ773086.2871-NODE-2871-length-9184-cov-2.916420	9184	phage	0.097	0.813	False	False	0.321	0.000	bacteria	0	4	0	0	-0.606	0.251	4.707	1.092	-5.746	1.117	-2.957	0.233	4V		
ERZ773086.2906-NODE-2906-length-9087-cov-2.784101	9087	phage	0.077	0.886	False	False	0.508	0.000	bacteria	0	4	0	0	0.250	0.392	5.500	0.586	-6.543	0.576	-4.285	0.179	4V		
ERZ773086.2931-NODE-2931-length-9019-cov-18.891789	9019	phage	0.407	0.793	False	False	0.661	0.000	bacteria	0	4	0	0	1.070	0.775	3.861	0.840	-5.414	1.155	-4.820	0.122	4V		
ERZ773086.2957-NODE-2957-length-8971-cov-2.978578	8971	phage	0.168	0.648	False	False	0.598	0.000	bacteria	0	4	0	0	0.464	0.478	4.695	0.612	-6.047	0.626	-4.109	0.426	4V		
ERZ773086.2969-NODE-2969-length-8945-cov-2.885377	8945	phage	0.008	0.791	False	False	0.486	0.000	bacteria	0	4	0	0	-1.651	0.213	6.648	1.430	-6.832	4.949	-3.855	0.261	4V		
ERZ773086.2971-NODE-2971-length-8943-cov-3.018002	8943	phage	0.288	0.762	True	False	0.501	0.000	bacteria	2	2	0	0	2.850	3.826	3.297	4.531	-6.508	0.217	-3.729	0.463	1n2V1n		
ERZ773086.3002-NODE-3002-length-8885-cov-5.792186	8885	phage	0.127	0.899	True	False	0.444	0.000	bacteria	1	3	0	0	1.886	3.869	3.500	4.344	-5.949	0.562	-4.512	2.730	3V1n		
ERZ773086.3047-NODE-3047-length-8793-cov-3.937514	8793	phage	0.439	0.764	False	False	0.661	0.000	bacteria	0	4	0	0	1.032	0.896	3.975	1.249	-5.980	0.428	-4.410	0.592	4V		
ERZ773086.3060-NODE-3060-length-8751-cov-7.116950	8751	phage	0.098	0.704	False	False	0.655	0.000	bacteria	0	4	0	0	-0.201	0.577	5.012	0.610	-5.410	1.523	-3.730	0.758	4V		
ERZ773086.3105-NODE-3105-length-8658-cov-5.667209	8658	phage	0.402	0.636	False	False	0.423	0.000	bacteria	1	3	0	0	1.631	1.704	3.164	1.457	-5.320	0.937	-3.463	0.059	2V1n1V		
ERZ773086.3165-NODE-3165-length-8536-cov-2.557364	8536	phage	0.135	0.817	False	False	0.423	0.000	bacteria	0	4	0	0	0.060	0.052	4.254	0.228	-5.539	1.535	-3.139	1.538	4V		
ERZ773086.3186-NODE-3186-length-8497-cov-24.893746	8497	phage	0.648	0.737	False	False	0.638	0.000	bacteria	2	2	0	0	3.588	0.836	3.918	0.715	-7.422	0.812	-4.836	0.148	1V2n1V		
ERZ773086.3241-NODE-3241-length-8375-cov-2.693149	8375	phage	0.230	0.806	False	False	0.405	0.000	bacteria	0	4	0	0	0.135	0.453	4.023	1.025	-5.500	1.607	-3.496	0.239	4V		
ERZ773086.3302-NODE-3302-length-8271-cov-3.046130	8271	phage	0.050	0.972	False	False	0.395	0.000	bacteria	0	4	0	0	0.036	0.043	5.414	0.264	-7.207	0.705	-4.770	0.225	4V	DTR	13.000
ERZ773086.3346-NODE-3346-length-8169-cov-4.414839	8169	phage	0.174	0.558	False	False	0.583	0.000	bacteria	0	3	0	0	-1.108	0.435	3.859	1.169	-2.664	0.552	-3.092	0.965	3V		
ERZ773086.3449-NODE-3449-length-7959-cov-2.081225	7959	phage	0.068	0.899	False	False	0.598	0.000	bacteria	0	3	0	0	0.271	0.186	5.484	0.507	-6.289	0.391	-3.914	0.010	3V		
ERZ773086.3454-NODE-3454-length-7940-cov-3.662904	7940	phage	0.232	0.823	True	False	0.287	0.000	bacteria	1	2	0	0	0.739	2.547	3.055	3.129	-6.562	0.341	-2.414	0.544	2V1n		
ERZ773086.3462-NODE-3462-length-7928-cov-5.789661	7928	phage	0.064	0.906	False	False	0.676	0.000	bacteria	0	3	0	0	-0.252	0.277	4.898	0.079	-5.789	0.144	-4.141	0.284	3V		
ERZ773086.3473-NODE-3473-length-7911-cov-5.115580	7911	phage	0.070	0.817	False	False	0.407	0.000	bacteria	0	3	0	0	-0.617	0.066	4.980	1.109	-5.566	2.826	-4.125	1.119	3V		
ERZ773086.3513-NODE-3513-length-7828-cov-4.389940	7828	phage	0.307	0.763	False	False	0.476	0.000	bacteria	1	2	0	0	2.340	1.819	4.746	2.354	-8.391	2.016	-4.062	0.357	1n2V		
ERZ773086.3536-NODE-3536-length-7772-cov-2.499935	7772	phage	0.153	0.835	False	False	0.431	0.000	bacteria	0	3	0	0	0.208	0.208	4.082	0.011	-5.320	0.034	-4.625	0.375	3V		
ERZ773086.3537-NODE-3537-length-7772-cov-2.422574	7772	phage	0.667	0.682	False	False	0.411	0.000	bacteria	0	3	0	0	0.801	1.683	3.229	1.307	-5.383	3.137	-2.936	1.798	3V		
ERZ773086.3545-NODE-3545-length-7765-cov-3.018936	7765	phage	0.052	0.885	False	False	0.580	0.000	bacteria	0	3	0	0	0.186	0.119	5.707	0.431	-6.773	0.560	-4.188	0.103	3V		
ERZ773086.3552-NODE-3552-length-7745-cov-2.627958	7745	phage	0.216	0.693	False	False	0.585	0.000	bacteria	0	3	0	0	-0.244	0.628	3.607	0.309	-4.094	0.116	-3.664	0.867	3V		
ERZ773086.3554-NODE-3554-length-7744-cov-2.911692	7744	phage	0.122	0.773	False	False	0.403	0.000	bacteria	0	3	0	0	0.617	0.077	5.191	1.197	-6.230	1.723	-4.594	0.324	3V		
ERZ773086.3572-NODE-3572-length-7721-cov-2.474563	7721	phage	0.031	0.831	False	False	0.420	0.000	bacteria	0	3	0	0	-1.137	0.077	4.973	0.526	-5.562	5.344	-4.465	0.402	3V		
