contig_id	length	prediction	entropy	reliability_score	host_contam	prophage_contam	G+C	N%	prediction_2	#_bacteria_windows	#_phage_windows	#_eukarya_windows	#_archaea_windows	bacteria_score	bacteria_var	phage_score	phage_var	eukarya_score	eukarya_var	archaea_score	archaea_var	window_summary	terminal_repeats	repeat_length
ERZ773086.28-NODE-28-length-146009-cov-5.553942	146009	non-phage	0.135	0.930	False	True	0.650	0.000		69	1	1	0	5.312	2.189	-1.269	1.568	-6.641	5.523	-3.104	1.148	47n1V23n	ITR	14.000
ERZ773086.11-NODE-11-length-207493-cov-14.155025	207493	non-phage	1.088	0.461	False	True	0.347	0.000		32	29	4	36	0.703	1.454	0.332	2.350	-2.609	4.039	0.288	2.953	5n1V8n1V3n1V1n3V7n2V3n1V1n6V17n3V8n2V1n1V2n2V11n1V2n2V1n2V2n1V	DTR	14.000
ERZ773086.36-NODE-36-length-130675-cov-10.179391	130675	non-phage	0.048	0.986	False	True	0.655	0.000		63	0	0	0	6.254	0.574	0.286	0.494	-7.348	2.072	-3.863	0.599	63n	DTR	13.000
ERZ773086.19-NODE-19-length-158633-cov-15.770763	158633	non-phage	1.248	0.396	False	True	0.363	0.000		32	15	9	21	0.844	1.455	0.060	1.577	-1.868	4.609	0.075	2.264	6n1V5n1V1n1V4n3V6n1V1n1V27n2V1n2V2n2V5n1V4n	DTR	15.000
ERZ773086.44-NODE-44-length-115806-cov-5.271885	115806	non-phage	0.175	0.914	False	True	0.649	0.000		53	2	0	1	5.086	2.555	-0.950	1.540	-6.836	5.273	-3.131	1.906	43n2V11n	DTR	17.000
ERZ773086.27-NODE-27-length-146085-cov-6.260809	146085	non-phage	0.564	0.768	False	True	0.489	0.000		45	26	0	0	3.074	3.213	1.769	1.877	-4.566	4.137	-4.023	1.942	1V1n1V1n1V3n1V4n1V1n3V6n2V5n2V1n1V7n3V2n2V2n1V3n1V3n2V3n1V1n3V2n		
ERZ773086.10-NODE-10-length-209032-cov-5.191088	209032	non-phage	0.057	0.975	False	True	0.662	0.000		102	0	0	0	5.844	1.056	-1.546	1.165	-7.957	1.697	-2.875	1.920	102n	ITR	13.000
ERZ773086.4-NODE-4-length-279377-cov-45.940359	279377	non-phage	0.262	0.860	False	True	0.643	0.000		127	8	1	0	4.148	1.898	-0.240	1.770	-5.340	3.574	-3.051	1.301	2V33n1V14n1V4n1V9n2V4n1V64n	ITR	13.000
ERZ773086.35-NODE-35-length-132707-cov-8.824337	132707	non-phage	0.098	0.960	False	True	0.653	0.000		63	1	0	0	6.219	1.490	0.181	1.079	-7.465	2.645	-4.039	0.516	62n1V1n	DTR	14.000
ERZ773086.18-NODE-18-length-163692-cov-9.216345	163692	non-phage	0.070	0.975	False	True	0.656	0.000		78	1	0	0	6.312	1.271	-0.047	0.778	-7.715	3.988	-3.773	0.874	1n1V77n	DTR	13.000
ERZ773086.43-NODE-43-length-117833-cov-28.157135	117833	non-phage	0.573	0.740	False	True	0.377	0.000		41	16	0	0	3.021	2.295	1.410	1.987	-4.527	4.672	-3.477	1.543	5n2V1n2V2n3V19n1V4n2V2n2V4n2V1n1V2n1V1n		
ERZ773086.26-NODE-26-length-148071-cov-9.593085	148071	non-phage	0.104	0.966	False	True	0.644	0.000		71	0	0	1	6.086	1.683	0.166	0.728	-7.176	4.754	-3.965	0.969	72n	DTR	13.000
ERZ773086.9-NODE-9-length-210706-cov-11.484963	210706	non-phage	0.544	0.797	False	True	0.361	0.000		75	26	1	0	2.863	1.900	1.486	1.562	-5.676	3.307	-3.209	1.419	3n1V10n2V3n1V3n2V3n1V1n3V5n2V7n1V5n1V7n1V1n3V3n1V10n1V4n2V3n1V2n2V4n1V2n	ITR	14.000
ERZ773086.34-NODE-34-length-133856-cov-12.860733	133856	non-phage	0.313	0.934	False	True	0.549	0.000		61	3	0	1	3.992	1.200	-0.194	1.721	-8.180	3.883	-0.958	1.934	9n1V9n1V27n1V17n	DTR	14.000
ERZ773086.17-NODE-17-length-167002-cov-44.917639	167002	non-phage	0.203	0.895	False	True	0.645	0.000		80	1	0	0	4.242	1.240	-0.244	1.447	-5.375	2.334	-3.158	1.414	33n1V47n	DTR	14.000
ERZ773086.42-NODE-42-length-120675-cov-4.151849	120675	non-phage	0.108	0.958	False	True	0.454	0.000		57	1	0	0	5.180	0.573	-0.215	1.300	-7.902	1.053	-2.295	1.128	52n1V5n		
ERZ773086.25-NODE-25-length-150020-cov-10.454119	150020	non-phage	0.058	0.980	False	True	0.664	0.000		72	0	1	0	6.617	1.660	-0.002	0.703	-7.996	4.082	-4.062	0.587	73n		
ERZ773086.8-NODE-8-length-253236-cov-43.555500	253236	non-phage	0.199	0.861	False	True	0.644	0.000		116	5	2	0	4.258	1.580	-0.548	1.561	-5.266	3.988	-2.818	1.515	2n1V9n1V47n2V36n1V24n	DTR	13.000
ERZ773086.33-NODE-33-length-137039-cov-9.560014	137039	non-phage	0.042	0.989	False	True	0.665	0.000		66	0	0	0	6.422	0.904	-0.149	0.647	-7.719	2.205	-3.850	0.884	66n	DTR	14.000
ERZ773086.16-NODE-16-length-174495-cov-15.153285	174495	non-phage	1.018	0.495	False	True	0.362	0.000		36	19	2	28	1.206	1.485	0.276	1.663	-2.768	3.893	-0.019	2.750	2V1n1V11n1V10n3V6n3V4n1V6n1V3n2V14n1V2n1V7n1V1n2V1n	DTR	15.000
ERZ773086.41-NODE-41-length-122265-cov-38.333483	122265	non-phage	0.398	0.810	False	False	0.467	0.000		45	13	1	0	4.281	4.148	1.884	1.376	-6.215	3.498	-4.660	1.498	3n1V8n1V4n1V2n2V1n1V6n2V3n2V2n1V12n1V3n1V2n	DTR	13.000
ERZ773086.24-NODE-24-length-150861-cov-12.324410	150861	non-phage	0.466	0.949	False	True	0.565	0.000		65	2	0	6	3.527	1.008	-1.006	2.432	-8.578	1.750	0.274	2.744	21n1V46n1V4n		
ERZ773086.7-NODE-7-length-257463-cov-10.445872	257463	non-phage	0.042	0.987	False	True	0.657	0.000		125	0	0	0	6.586	0.763	0.177	0.654	-8.094	2.252	-4.066	0.633	125n	DTR	14.000
ERZ773086.32-NODE-32-length-138209-cov-4.126468	138209	non-phage	0.126	0.932	False	True	0.449	0.000		66	1	0	0	5.250	0.963	0.338	1.015	-7.004	1.914	-3.053	1.219	50n1V16n	ITR	14.000
ERZ773086.15-NODE-15-length-176387-cov-11.925538	176387	non-phage	0.405	0.933	False	True	0.540	0.000		80	1	0	5	3.617	1.322	-0.648	2.006	-8.398	1.659	-0.260	2.719	55n1V30n	ITR	15.000
ERZ773086.40-NODE-40-length-124350-cov-5.456285	124350	non-phage	0.086	0.970	False	True	0.672	0.000		60	0	0	0	5.840	1.568	-1.625	2.061	-7.758	1.876	-3.252	1.870	60n	DTR	14.000
ERZ773086.3-NODE-3-length-406360-cov-43.876600	406360	non-phage	0.227	0.871	False	True	0.641	0.000		193	2	2	1	4.262	1.265	-0.380	1.355	-5.262	3.750	-2.957	1.929	63n1V1n1V132n	ITR	15.000
ERZ773086.23-NODE-23-length-151745-cov-28.790329	151745	non-phage	0.504	0.746	False	True	0.377	0.000		53	20	1	0	2.961	2.441	1.433	1.729	-4.809	3.064	-3.404	1.845	1V3n1V4n1V1n2V2n1V1n1V7n1V6n1V2n1V7n1V1n3V6n3V3n1V3n1V7n1V1n		
ERZ773086.6-NODE-6-length-266718-cov-9.298129	266718	non-phage	0.320	0.866	False	True	0.566	0.000		124	6	0	0	4.141	1.374	0.624	1.031	-4.734	4.543	-3.523	0.800	52n1V29n1V10n1V18n1V6n1V8n1V1n		
ERZ773086.31-NODE-31-length-143194-cov-10.230398	143194	phage	0.817	0.466	True	False	0.571	0.000	bacteria	32	30	3	4	0.965	2.203	1.348	2.932	-3.447	4.605	-1.709	3.465	1n1V1n1V1n1V1n2V1n1V5n1V3n3V3n5V1n3V3n1V3n4V1n1V1n1V1n1V3n1V2n2V6n1V2n		
ERZ773086.14-NODE-14-length-180327-cov-12.973917	180327	non-phage	0.401	0.896	False	True	0.586	0.000		64	21	0	3	2.994	3.180	0.332	6.234	-8.422	2.305	-0.698	3.389	7n1V18n1V1n1V12n2V1n2V20n14V8n	ITR	13.000
ERZ773086.39-NODE-39-length-125887-cov-12.892539	125887	phage	0.759	0.468	True	False	0.564	0.000	bacteria	21	31	2	7	1.013	2.305	1.330	2.627	-3.777	4.520	-1.698	4.047	1n1V2n3V2n4V1n1V1n2V5n1V1n1V2n2V1n1V3n5V3n2V4n2V2n2V2n4V	ITR	16.000
ERZ773086.22-NODE-22-length-154730-cov-12.800976	154730	non-phage	0.551	0.793	False	False	0.366	0.000		46	29	0	0	2.754	2.314	1.857	1.653	-5.625	2.895	-3.730	1.504	4V2n2V1n1V2n2V4n2V5n2V3n5V6n2V2n1V4n1V4n1V3n1V1n3V5n1V1n1V3n	DTR	13.000
ERZ773086.30-NODE-30-length-145660-cov-29.148772	145660	non-phage	0.508	0.766	False	True	0.379	0.000		55	15	0	1	3.230	2.805	1.142	1.311	-4.520	2.566	-3.070	1.728	9n3V1n1V1n2V2n1V8n2V5n1V3n1V12n1V13n1V2n2V	DTR	13.000
ERZ773086.5-NODE-5-length-277790-cov-9.805955	277790	non-phage	0.062	0.976	False	True	0.657	0.000		134	1	0	0	6.336	1.287	0.160	0.673	-7.797	2.971	-3.926	0.785	7n1V127n	DTR	14.000
ERZ773086.48-NODE-48-length-109404-cov-10.192009	109404	non-phage	0.051	0.987	False	True	0.660	0.000		53	0	0	0	6.438	0.753	0.246	0.672	-7.895	1.832	-4.098	0.577	53n	DTR	13.000
ERZ773086.47-NODE-47-length-112656-cov-10.453424	112656	non-phage	0.342	0.872	False	True	0.581	0.000		50	5	0	0	4.070	1.320	0.959	1.164	-5.492	3.721	-3.734	0.840	21n1V13n2V11n1V2n1V3n	ITR	15.000
ERZ773086.50-NODE-50-length-108749-cov-8.480137	108749	non-phage	0.298	0.897	False	True	0.565	0.000		52	1	0	0	4.168	0.677	0.699	0.801	-5.238	3.434	-3.736	1.109	18n1V34n		
ERZ773086.49-NODE-49-length-109286-cov-48.023382	109286	non-phage	0.365	0.767	False	True	0.616	0.000		44	4	5	0	3.531	3.391	-0.227	1.427	-4.504	8.695	-2.990	1.856	1n1V10n1V28n1V8n1V2n		
ERZ773086.51-NODE-51-length-108123-cov-4.783396	108123	non-phage	0.122	0.960	False	True	0.654	0.000		50	1	1	0	5.660	2.186	-1.539	1.697	-7.445	4.789	-2.576	1.733	46n1V5n	DTR	13.000
ERZ773086.52-NODE-52-length-107373-cov-5.090824	107373	non-phage	0.058	0.964	False	True	0.672	0.000		52	0	0	0	5.812	1.157	-1.664	1.353	-7.559	3.898	-2.697	1.857	52n	DTR	13.000
ERZ773086.53-NODE-53-length-107129-cov-12.809450	107129	non-phage	0.854	0.489	False	True	0.574	0.000		29	20	1	2	1.521	1.725	1.179	2.076	-3.570	5.504	-1.750	2.777	1n1V2n1V3n1V1n1V3n1V4n2V2n1V3n3V1n1V2n1V3n1V2n1V1n1V1n2V3n2V	DTR	14.000
ERZ773086.54-NODE-54-length-106214-cov-15.455477	106214	phage	0.886	0.481	True	False	0.375	0.000	bacteria	17	22	1	11	0.440	2.742	1.132	2.840	-2.936	4.355	-0.382	2.494	3n1V3n2V3n1V4n1V1n2V1n12V1n2V6n1V7n	DTR	18.000
ERZ773086.55-NODE-55-length-105863-cov-5.013921	105863	non-phage	0.124	0.960	False	True	0.655	0.000		45	6	0	0	5.086	2.805	-0.439	6.188	-7.637	2.164	-2.969	1.708	11n6V34n		
ERZ773086.56-NODE-56-length-104937-cov-4.758815	104937	non-phage	0.540	0.798	False	False	0.601	0.000		32	19	0	0	2.672	1.931	2.113	1.945	-6.594	2.250	-3.375	1.728	1V6n4V7n1V2n5V1n1V1n3V5n2V8n1V2n1V	DTR	13.000
ERZ773086.57-NODE-57-length-103669-cov-8.814272	103669	phage	0.893	0.342	True	False	0.540	0.000	bacteria	16	29	1	4	0.596	2.543	1.263	2.361	-2.189	4.293	-1.865	3.393	1V1n2V1n2V2n2V3n7V1n1V5n4V1n7V2n1V5n2V	ITR	32.000
ERZ773086.58-NODE-58-length-103456-cov-5.351467	103456	non-phage	0.114	0.953	False	True	0.660	0.000		49	1	0	0	5.422	1.722	-0.993	1.828	-7.648	2.363	-3.391	1.585	13n1V36n	DTR	14.000
ERZ773086.59-NODE-59-length-103353-cov-42.208542	103353	non-phage	0.283	0.895	False	True	0.572	0.000		48	2	0	0	4.402	1.230	0.778	0.895	-5.027	2.713	-3.348	1.044	46n2V2n	ITR	13.000
ERZ773086.60-NODE-60-length-101242-cov-4.019360	101242	non-phage	0.141	0.947	False	True	0.457	0.000		49	0	0	0	4.875	0.724	-0.220	0.967	-7.762	1.108	-2.023	1.072	49n		
ERZ773086.61-NODE-61-length-100724-cov-7.920621	100724	non-phage	0.576	0.769	False	True	0.494	0.000		32	15	0	2	2.934	1.387	0.854	3.131	-6.793	3.332	-1.065	2.422	1n3V5n4V1n2V5n1V1n1V1n4V20n	DTR	13.000
ERZ773086.62-NODE-62-length-100721-cov-14.231607	100721	non-phage	0.456	0.839	False	True	0.372	0.000		34	15	0	0	3.158	2.512	1.205	2.404	-5.602	3.107	-3.062	2.236	1V2n2V2n1V1n2V2n1V3n1V10n1V4n3V4n1V1n1V1n1V4n	ITR	14.000
ERZ773086.63-NODE-63-length-99692-cov-10.533898	99692	non-phage	0.300	0.895	False	True	0.592	0.000		47	1	0	0	4.281	1.054	0.811	1.038	-5.434	3.887	-3.787	1.113	15n1V32n	DTR	13.000
ERZ773086.64-NODE-64-length-99145-cov-3.932556	99145	non-phage	0.100	0.952	False	True	0.459	0.000		48	0	0	0	5.465	0.468	0.449	0.657	-7.527	2.090	-3.195	0.665	48n		
ERZ773086.65-NODE-65-length-99134-cov-7.568294	99134	non-phage	0.039	0.990	False	True	0.648	0.000		48	0	0	0	6.359	0.731	0.011	0.601	-7.840	2.143	-3.854	0.447	48n	DTR	13.000
ERZ773086.66-NODE-66-length-98759-cov-4.650875	98759	non-phage	0.072	0.980	False	True	0.656	0.000		45	3	0	0	5.488	1.772	-1.103	3.211	-7.746	1.084	-2.840	1.834	44n1V1n2V	DTR	17.000
ERZ773086.67-NODE-67-length-96847-cov-8.871332	96847	phage	0.921	0.383	True	False	0.532	0.000	bacteria	16	24	4	3	0.754	1.954	1.306	2.363	-2.559	4.301	-1.689	2.676	3n2V1n1V3n6V2n1V1n1V1n1V4n1V2n3V1n2V1n1V1n2V3n3V		
ERZ773086.68-NODE-68-length-95353-cov-11.615931	95353	non-phage	0.915	0.437	False	True	0.577	0.000		20	20	1	5	1.088	1.795	0.949	2.266	-3.223	4.133	-1.260	3.400	8n2V1n2V2n1V1n1V2n1V3n1V1n4V3n3V2n1V1n2V2n2V	ITR	29.000
ERZ773086.69-NODE-69-length-93905-cov-5.200799	93905	non-phage	0.078	0.951	False	True	0.674	0.000		45	0	0	0	5.707	1.624	-1.433	1.447	-7.379	3.834	-3.047	1.189	45n	ITR	13.000
ERZ773086.70-NODE-70-length-93759-cov-7.911775	93759	non-phage	0.409	0.835	False	True	0.543	0.000		43	2	0	0	3.861	1.669	0.723	0.874	-4.180	5.477	-3.545	0.930	25n2V18n		
ERZ773086.71-NODE-71-length-92316-cov-46.794312	92316	non-phage	0.319	0.761	False	True	0.629	0.000		35	10	0	0	3.686	3.111	0.314	3.059	-4.656	3.984	-3.486	1.460	3V16n1V16n2V2n4V1n	DTR	15.000
ERZ773086.73-NODE-73-length-88928-cov-46.706739	88928	non-phage	0.332	0.794	False	True	0.635	0.000		36	6	1	0	3.816	2.293	0.110	2.656	-5.047	5.594	-3.416	1.119	6n1V18n1V2n1V11n3V		
ERZ773086.72-NODE-72-length-90062-cov-5.081549	90062	non-phage	0.030	0.988	False	True	0.676	0.000		43	0	0	0	6.156	0.839	-1.896	1.354	-8.328	1.273	-2.574	2.488	43n	ITR	15.000
ERZ773086.74-NODE-74-length-86889-cov-4.913179	86889	non-phage	0.103	0.971	False	True	0.437	0.000		42	0	0	0	5.168	0.423	-0.159	1.206	-7.699	1.166	-2.160	0.836	42n		
ERZ773086.75-NODE-75-length-86531-cov-12.546626	86531	non-phage	1.008	0.473	False	True	0.578	0.000		17	17	2	6	1.392	1.138	1.106	1.291	-3.791	3.617	-1.374	2.586	2n1V1n1V1n1V2n1V2n1V5n1V2n2V1n3V2n1V1n3V2n1V2n1V2n	DTR	19.000
ERZ773086.77-NODE-77-length-86033-cov-5.748971	86033	non-phage	0.551	0.706	False	False	0.518	0.000		33	7	1	1	2.930	3.559	1.336	1.175	-3.604	3.484	-3.465	1.845	7n4V4n1V11n1V6n1V7n	DTR	39.000
ERZ773086.76-NODE-76-length-86324-cov-12.699776	86324	non-phage	0.839	0.513	False	True	0.573	0.000		23	14	3	2	1.364	3.082	0.926	3.135	-3.961	5.086	-1.482	3.334	4n1V1n1V4n1V7n2V3n2V1n2V1n1V4n2V1n1V1n1V1n	ITR	13.000
ERZ773086.78-NODE-78-length-84868-cov-66.454529	84868	phage	0.015	0.972	False	False	0.419	0.000	bacteria	0	41	0	0	-1.937	0.963	6.859	1.849	-7.367	3.324	-5.496	1.294	41V	ITR	14.000
ERZ773086.81-NODE-81-length-83476-cov-3.847317	83476	non-phage	0.145	0.956	False	True	0.391	0.000		40	0	0	0	4.859	0.697	-0.177	1.229	-6.754	1.071	-1.894	0.928	40n	DTR	14.000
ERZ773086.79-NODE-79-length-84704-cov-13.788302	84704	non-phage	0.491	0.719	False	True	0.371	0.000		34	5	2	0	3.021	2.922	0.940	1.560	-3.492	5.453	-3.010	1.853	6n1V1n1V4n1V18n1V1n1V6n	ITR	13.000
ERZ773086.80-NODE-80-length-84316-cov-14.344287	84316	non-phage	1.032	0.446	False	True	0.354	0.000		17	11	0	13	0.848	1.882	0.355	1.732	-2.844	3.293	0.246	3.000	11n2V4n1V3n1V3n1V2n1V1n2V1n2V1n1V4n	ITR	15.000
ERZ773086.82-NODE-82-length-82796-cov-5.345343	82796	non-phage	0.014	0.983	False	True	0.680	0.000		40	0	0	0	6.348	0.531	-1.665	0.890	-8.133	1.072	-3.223	0.996	40n	DTR	23.000
ERZ773086.83-NODE-83-length-82271-cov-12.452065	82271	non-phage	0.567	0.898	False	True	0.565	0.000		33	3	0	4	3.213	1.050	-0.459	2.562	-8.703	2.252	-0.007	2.412	30n1V1n1V1n1V5n		
ERZ773086.84-NODE-84-length-81186-cov-5.237431	81186	non-phage	0.034	0.986	False	True	0.666	0.000		39	0	0	0	5.926	0.808	-1.749	1.138	-7.953	1.138	-2.779	1.592	39n	ITR	13.000
ERZ773086.85-NODE-85-length-80952-cov-4.846348	80952	non-phage	0.056	0.978	False	True	0.665	0.000		39	0	0	0	5.918	1.273	-1.560	1.756	-7.703	2.068	-2.959	1.451	39n	DTR	20.000
ERZ773086.86-NODE-86-length-80577-cov-28.811530	80577	non-phage	0.478	0.819	False	False	0.382	0.000		34	5	0	0	3.676	1.854	1.193	0.958	-5.609	2.518	-3.725	1.211	2n1V4n1V8n1V10n1V3n1V7n	ITR	13.000
ERZ773086.87-NODE-87-length-80526-cov-45.830535	80526	non-phage	0.195	0.891	False	True	0.650	0.000		37	2	0	0	4.488	1.535	-0.632	1.643	-5.645	3.469	-3.057	1.401	21n1V8n1V8n	DTR	13.000
ERZ773086.88-NODE-88-length-80371-cov-9.916081	80371	phage	0.288	0.859	True	False	0.391	0.000	bacteria	15	24	0	0	1.097	4.898	3.559	5.926	-6.234	1.597	-3.246	1.155	1n2V2n22V12n	DTR	15.000
ERZ773086.89-NODE-89-length-79642-cov-6.233204	79642	non-phage	0.194	0.907	False	True	0.665	0.000		33	5	0	0	4.418	3.814	-0.223	3.557	-6.566	3.500	-3.068	0.941	15n1V2n4V16n	DTR	13.000
ERZ773086.90-NODE-90-length-78864-cov-8.892741	78864	non-phage	0.283	0.900	False	True	0.578	0.000		38	0	0	0	4.441	1.414	0.442	0.706	-5.023	3.375	-3.434	1.154	38n	DTR	13.000
ERZ773086.91-NODE-91-length-78830-cov-47.649800	78830	non-phage	0.184	0.889	False	True	0.632	0.000		38	0	0	0	4.547	1.193	-0.483	1.550	-5.328	3.537	-3.238	0.948	38n	DTR	13.000
ERZ773086.92-NODE-92-length-78447-cov-10.611988	78447	phage	0.280	0.807	True	False	0.371	0.000	bacteria	14	24	0	0	1.381	4.863	3.166	6.211	-5.875	2.061	-3.180	1.845	2n1V1n1V3n19V3n1V3n1V1n1V1n	DTR	13.000
ERZ773086.93-NODE-93-length-78167-cov-11.728185	78167	phage	0.425	0.753	True	False	0.381	0.000	bacteria	16	21	1	0	1.710	5.027	2.199	3.461	-4.586	4.145	-3.166	1.505	19V14n2V3n	ITR	13.000
ERZ773086.94-NODE-94-length-78001-cov-13.479037	78001	non-phage	0.391	0.821	False	True	0.371	0.000		35	2	1	0	4.020	2.113	0.546	1.480	-4.652	5.797	-3.014	1.209	6n1V1n1V29n	ITR	13.000
ERZ773086.96-NODE-96-length-77283-cov-5.496685	77283	non-phage	0.066	0.940	False	True	0.650	0.000		37	0	0	0	5.766	1.323	-1.729	0.909	-7.309	4.645	-3.412	1.059	37n	DTR	32.000
ERZ773086.95-NODE-95-length-77506-cov-12.690449	77506	non-phage	0.485	0.884	False	True	0.554	0.000		29	5	0	3	3.332	1.545	-0.514	3.473	-8.227	3.104	-0.132	3.252	7n3V1n1V10n1V14n	DTR	15.000
ERZ773086.97-NODE-97-length-75325-cov-9.341119	75325	non-phage	0.021	0.992	False	True	0.661	0.000		36	0	0	0	6.875	0.649	-0.306	0.532	-8.430	2.430	-3.736	0.593	36n	ITR	15.000
ERZ773086.98-NODE-98-length-75056-cov-5.556713	75056	non-phage	0.525	0.829	False	False	0.604	0.000		25	11	0	0	2.994	2.227	1.728	1.564	-6.156	2.209	-3.275	1.275	6n1V2n1V2n2V6n1V2n1V1n1V2n1V1n3V3n	ITR	13.000
ERZ773086.99-NODE-99-length-74834-cov-45.564423	74834	non-phage	0.360	0.837	False	True	0.528	0.000		32	2	1	1	3.896	2.852	0.498	0.995	-4.223	5.035	-2.668	2.252	4n1V1n1V29n	DTR	13.000
ERZ773086.100-NODE-100-length-74133-cov-11.505319	74133	non-phage	0.723	0.763	False	False	0.364	0.000		19	17	0	0	2.379	0.722	2.168	1.388	-5.984	2.945	-4.125	1.021	1n1V1n4V1n1V2n1V5n4V3n1V1n1V1n1V4n3V		
ERZ773086.101-NODE-101-length-74090-cov-41.708692	74090	non-phage	0.281	0.892	False	True	0.543	0.000		35	1	0	0	4.516	1.934	0.658	0.757	-4.641	5.594	-3.639	0.673	26n1V9n		
ERZ773086.102-NODE-102-length-73641-cov-10.867081	73641	phage	0.656	0.608	True	False	0.371	0.000	bacteria	11	21	0	3	1.012	1.857	2.340	3.986	-3.848	5.207	-2.850	3.020	3n1V1n3V1n15V1n1V4n1V4n		
ERZ773086.105-NODE-105-length-72354-cov-28.328469	72354	non-phage	0.610	0.782	False	True	0.570	0.000		28	7	0	0	2.992	1.586	0.873	0.932	-5.418	4.051	-1.678	1.372	6n2V6n1V3n1V3n1V1n1V4n1V5n	DTR	13.000
ERZ773086.104-NODE-104-length-72449-cov-10.987278	72449	non-phage	0.069	0.965	False	True	0.692	0.000		35	0	0	0	5.352	0.728	-0.771	1.097	-7.707	0.860	-3.861	0.928	35n	DTR	13.000
ERZ773086.103-NODE-103-length-73336-cov-40.319523	73336	non-phage	0.317	0.898	False	True	0.584	0.000		32	2	1	0	4.527	2.018	0.842	1.096	-5.508	5.191	-3.566	1.081	5n1V11n1V17n	DTR	14.000
ERZ773086.106-NODE-106-length-71952-cov-13.138309	71952	non-phage	0.418	0.932	False	True	0.579	0.000		31	3	0	1	3.738	1.559	-0.489	1.881	-8.508	2.264	-0.181	2.453	27n3V5n		
ERZ773086.107-NODE-107-length-71791-cov-12.084156	71791	non-phage	0.480	0.896	False	True	0.487	0.000		32	2	0	1	3.582	1.254	-0.026	1.904	-6.988	2.740	-0.550	1.438	1n1V30n1V2n	DTR	13.000
ERZ773086.109-NODE-109-length-71636-cov-3.836493	71636	non-phage	0.087	0.969	False	True	0.415	0.000		34	0	0	0	5.289	0.517	-0.163	0.875	-7.355	1.078	-2.426	0.502	34n		
ERZ773086.108-NODE-108-length-71772-cov-11.145516	71772	non-phage	0.552	0.788	False	False	0.373	0.000		28	7	0	0	2.971	1.732	1.674	1.194	-5.379	4.012	-3.883	1.194	11n1V5n1V1n1V1n2V9n2V1n	ITR	13.000
ERZ773086.110-NODE-110-length-70918-cov-4.578539	70918	phage	0.188	0.819	False	False	0.310	0.000	bacteria	0	34	0	0	-0.255	1.087	4.500	1.215	-5.773	1.405	-3.740	1.055	34V	DTR	13.000
